sheet_tab,col_index_0based,col_letter,implied_header,app_property,loaded_from_sheet,used_in_dashboard,usage_summary
3.2 School Information,29,AD,There is a non-MPS public school within 1 mile,nonMpsSchoolsWithin1Mile,Yes,Yes,"Prioritize proximity criterion (several groups); map compare"
3.2 School Information,35,AJ,Pre 1978,pre1978LeadRisk,Yes,Yes,"Prioritize Pre-1978 Lead Risk; map compare"
3.2 School Information,55,BD,Accessible,adaAccessible,Yes,Yes,"Prioritize ADA Accessibility (not accessible prioritized); map compare. Yes→true; No/NA→false"
3.2 School Information,56,BE,SY 23-24 Report Card Score,academicPerformance,Yes,Yes,"Prioritize Academic Performance; map compare"
3.2 School Information,87,CJ,"Expand for Special Education Program Information Special Education",specialEdProgramCount,Yes,Yes,"Prioritize Special Ed Programs (group 4); map compare"
3.3 School Enrollment,0,A,Site,(join key),Yes,Yes,Joins enrollment extras onto schools by Site
3.3 School Enrollment,18,S,Current Enrollment 2024-2025,currentEnrollment,Yes,Yes,"Converts race %→counts; Board District chart stacks (sum enrollment by district×group)"
3.3 School Enrollment,36,AK,Attendance Demographics Percent Students Attending from attendance Area,studentsInAttendanceArea,Yes,Yes,"Prioritize Students from Attendance Area %; map compare"
3.3 School Enrollment,37,AL,Percent Economically disadvantaged Students,economicDisadvantageRate,Yes,Yes,"Prioritize Student Economic Status; map compare"
3.3 School Enrollment,38,AM,Number Economically Disadvantaged Students,economicallyDisadvantagedCount,Yes,Yes,Strategy Group Charts (FRL / economically disadvantaged headcount by group)
3.3 School Enrollment,40,AO,Number ELL Students,ellStudentCount,Yes,Yes,Strategy Group Charts (ELL headcount by group)
3.3 School Enrollment,43,AR,Race/Ethinicity White,raceEthnicityCounts[White],Yes (share→count),Yes,Strategy Group Charts race stacks; map does not show race breakdown
3.3 School Enrollment,44,AS,African-American,raceEthnicityCounts[African-American],Yes (share→count),Yes,Strategy Group Charts race stacks
3.3 School Enrollment,45,AT,Hispanic,raceEthnicityCounts[Hispanic],Yes (share→count),Yes,Strategy Group Charts race stacks
3.3 School Enrollment,46,AU,Asian,raceEthnicityCounts[Asian],Yes (share→count),Yes,Strategy Group Charts race stacks
3.3 School Enrollment,47,AV,Native American,raceEthnicityCounts[Native American],Yes (share→count),Yes,Strategy Group Charts race stacks
3.3 School Enrollment,48,AW,HI/PI,raceEthnicityCounts[Hawaiian or Pacific Isl.],Yes (share→count),Yes,Strategy Group Charts race stacks (label normalized)
3.3 School Enrollment,49,AX,Multiple,raceEthnicityCounts[Multi-Racial],Yes (share→count),Yes,Strategy Group Charts race stacks (label normalized)
3.3 School Enrollment,50,AY,Unknown,(dropped),Read then discarded,No,normalizeRaceEthnicityLabel drops Unknown; not stored or charted
(n/a — not in sheets),,,(none),regionalSpecialtyProgramCount,No — defaults to 0,Yes,"Prioritize Regional Program Access (groups 2.1/2.3/3/program-focused); map compare. Never populated from sheets"
(n/a — not in sheets),,,(none),receivesDisplacedStudents,No — defaults to false,Yes,"Prioritize +0.08 score boost when group toggle on; map compare. Never populated from sheets (mock data only)"
